playerID,First,Last,BA,RBI,HR
cobbty01,Ty,Cobb,0.3664,1937,117
hornsro01,Rogers,Hornsby,0.3585,3168,602
willite01,Ted,Williams,0.3444,3678,1042
gehrilo01,Lou,Gehrig,0.3401,1995,493
lajoina01,Nap,Lajoie,0.3381,1599,83
oneilti01,Tip,O'Neill,0.3257,757,52
foxxji01,Jimmie,Foxx,0.3253,1922,534
duffyhu01,Hugh,Duffy,0.3241,1302,106
medwijo01,Joe,Medwick,0.3236,1383,205
kleinch01,Chuck,Klein,0.3201,1201,300
hinespa01,Paul,Hines,0.3022,855,57
mantlmi01,Mickey,Mantle,0.2981,1509,536
robinfr02,Frank,Robinson,0.2941,1812,586
yastrca01,Carl,Yastrzemski,0.2852,1844,452
heckegu01,Guy,Hecker,0.2823,278,19
rusieam01,Amos,Rusie,0.2474,176,8
waltebu01,Bucky,Walters,0.2426,234,23
bondto01,Tommy,Bond,0.2385,174,0
johnswa01,Walter,Johnson,0.2354,765,72
radboch01,Charley,Radbourn,0.2352,259,9
clarkjo01,John,Clarkson,0.2188,232,24
mathech01,Christy,Mathewson,0.2150,330,14
youngcy01,Cy,Young,0.2105,290,18
alexape01,Pete,Alexander,0.2088,489,33
carltst01,Steve,Carlton,0.2013,140,13
newhoha01,Hal,Newhouser,0.2012,81,2
goodedw01,Dwight,Gooden,0.1957,67,8
keefeti01,Tim,Keefe,0.1872,134,12
peavyja01,Jake,Peavy,0.1802,26,2
clemero02,Roger,Clemens,0.1732,24,0
vaughhi01,Hippo,Vaughn,0.1726,61,3
santajo01,Johan,Santana,0.1722,8,0
wadderu01,Rube,Waddell,0.1614,83,4
fellebo01,Bob,Feller,0.1505,99,8
vanceda01,Dazzy,Vance,0.1504,75,7
grovele01,Lefty,Grove,0.1476,242,30
gomezle01,Lefty,Gomez,0.1471,116,0
johnsra05,Randy,Johnson,0.1248,40,1
martipe02,Pedro,Martinez,0.0991,18,0
koufasa01,Sandy,Koufax,0.0966,84,6
