playerID,nameFirst,nameLast,birthCity,MVP,GoldGlove
bondsba01,Barry,Bonds,Riverside,7,8
schmimi01,Mike,Schmidt,Dayton,3,10
rodrial01,Alex,Rodriguez,"New York",3,2
mantlmi01,Mickey,Mantle,Spavinaw,3,1
pujolal01,Albert,Pujols,"Santo Domingo",3,1
camparo01,Roy,Campanella,Philadelphia,3,0
musiast01,Stan,Musial,Donora,3,0
foxxji01,Jimmie,Foxx,Sudlersville,3,0
dimagjo01,Joe,DiMaggio,Martinez,3,0
berrayo01,Yogi,Berra,"St. Louis",3,0
mayswi01,Willie,Mays,Westfield,2,12
benchjo01,Johnny,Bench,"Oklahoma City",2,10
murphda05,Dale,Murphy,Portland,2,5
morgajo02,Joe,Morgan,Bonham,2,5
ripkeca01,Cal,Ripken,"Havre De Grace",2,2
bankser01,Ernie,Banks,Dallas,2,1
yountro01,Robin,Yount,Danville,2,1
robinfr02,Frank,Robinson,Beaumont,2,1
marisro01,Roger,Maris,Hibbing,2,1
gehrilo01,Lou,Gehrig,"New York",2,0
thomafr04,Frank,Thomas,Columbus,2,0
gonzaju03,Juan,Gonzalez,Arecibo,2,0
newhoha01,Hal,Newhouser,Detroit,2,0
hubbeca01,Carl,Hubbell,Carthage,2,0
willite01,Ted,Williams,"San Diego",2,0
johnswa01,Walter,Johnson,Humboldt,2,0
hornsro01,Rogers,Hornsby,Winters,2,0
greenha01,Hank,Greenberg,"New York",2,0
cochrmi01,Mickey,Cochrane,Bridgewater,2,0
robinbr01,Brooks,Robinson,"Little Rock",1,16
rodriiv01,Ivan,Rodriguez,Manati,1,13
clemero01,Roberto,Clemente,Carolina,1,12
hernake01,Keith,Hernandez,"San Francisco",1,11
griffke02,Ken,Griffey,Donora,1,10
gibsobo01,Bob,Gibson,Omaha,1,9
suzukic01,Ichiro,Suzuki,Kasugai,1,9
sandbry01,Ryne,Sandberg,Spokane,1,9
mattido01,Don,Mattingly,Evansville,1,9
dawsoan01,Andre,Dawson,Miami,1,8
shantbo01,Bobby,Shantz,Pottstown,1,8
yastrca01,Carl,Yastrzemski,Southampton,1,7
walkela01,Larry,Walker,"Maple Ridge",1,7
boyerke01,Ken,Boyer,Liberty,1,5
lynnfr01,Fred,Lynn,Chicago,1,4
garvest01,Steve,Garvey,Tampa,1,4
mcgeewi01,Willie,McGee,"San Francisco",1,3
pendlte01,Terry,Pendleton,"Los Angeles",1,3
larkiba01,Barry,Larkin,Cincinnati,1,3
parkeda01,Dave,Parker,Calhoun,1,3
caminke01,Ken,Caminiti,Hanford,1,3
aaronha01,Hank,Aaron,Mobile,1,3
munsoth01,Thurman,Munson,Akron,1,3
foxne01,Nellie,Fox,"St. Thomas",1,3
rolliji01,Jimmy,Rollins,Oakland,1,3
rosepe01,Pete,Rose,Cincinnati,1,2
howarel01,Elston,Howard,"St. Louis",1,2
willsma01,Maury,Wills,Washington,1,2
mauerjo01,Joe,Mauer,"St. Paul",1,2
versazo01,Zoilo,Versalles,Veldado,1,2
bagweje01,Jeff,Bagwell,Boston,1,1
brettge01,George,Brett,"Glen Dale",1,1
pedrodu01,Dustin,Pedroia,Woodland,1,1
torrejo01,Joe,Torre,Brooklyn,1,1
jenseja01,Jackie,Jensen,"San Francisco",1,1
henderi01,Rickey,Henderson,Chicago,1,1
sislege01,George,Sisler,Manchester,1,0
ofarrbo01,Bob,O'Farrell,Waukegan,1,0
mccorfr01,Frank,McCormick,"New York",1,0
guerrvl01,Vladimir,Guerrero,Nizao,1,0
rizzuph01,Phil,Rizzuto,Brooklyn,1,0
cobbty01,Ty,Cobb,Narrows,1,0
collied01,Eddie,Collins,Millerton,1,0
powelbo01,Boog,Powell,Lakeland,1,0
friscfr01,Frankie,Frisch,Bronx,1,0
deandi01,Dizzy,Dean,Lucas,1,0
gehrich01,Charlie,Gehringer,Fowlerville,1,0
gordojo01,Joe,Gordon,"Los Angeles",1,0
wanerpa01,Paul,Waner,Harrah,1,0
carewro01,Rod,Carew,Gatun,1,0
tejadmi01,Miguel,Tejada,Bani,1,0
peckiro01,Roger,Peckinpaugh,Wooster,1,0
lombaer01,Ernie,Lombardi,Oakland,1,0
sauerha01,Hank,Sauer,Pittsburgh,1,0
daubeja01,Jake,Daubert,Shamokin,1,0
burnsge02,George,Burns,Niles,1,0
grovele01,Lefty,Grove,Lonaconing,1,0
hartnga01,Gabby,Hartnett,Woonsocket,1,0
camildo01,Dolph,Camilli,"San Francisco",1,0
cavarph01,Phil,Cavarretta,Chicago,1,0
koufasa01,Sandy,Koufax,Brooklyn,1,0
bluevi01,Vida,Blue,Mansfield,1,0
jacksre01,Reggie,Jackson,Wyncote,1,0
burroje01,Jeff,Burroughs,"Long Beach",1,0
mitchke01,Kevin,Mitchell,"San Diego",1,0
morneju01,Justin,Morneau,"New Westminster",1,0
sosasa01,Sammy,Sosa,"San Pedro de Macoris",1,0
clemero02,Roger,Clemens,Dayton,1,0
cansejo01,Jose,Canseco,Havana,1,0
eckerde01,Dennis,Eckersley,Oakland,1,0
speaktr01,Tris,Speaker,Hubbard,1,0
vanceda01,Dazzy,Vance,Orient,1,0
marioma01,Marty,Marion,Richburg,1,0
kentje01,Jeff,Kent,Bellflower,1,0
newcodo01,Don,Newcombe,Madison,1,0
mccovwi01,Willie,McCovey,Mobile,1,0
mclaide01,Denny,McLain,Chicago,1,0
bottoji01,Jim,Bottomley,Oglesby,1,0
kleinch01,Chuck,Klein,Indianapolis,1,0
chandsp01,Spud,Chandler,Commerce,1,0
stargwi01,Willie,Stargell,Earlsboro,1,0
boudrlo01,Lou,Boudreau,Harvey,1,0
konstji01,Jim,Konstanty,Strykersville,1,0
riceji01,Jim,Rice,Anderson,1,0
cepedor01,Orlando,Cepeda,Ponce,1,0
waltebu01,Bucky,Walters,Philadelphia,1,0
allendi01,Dick,Allen,Wampum,1,0
killeha01,Harmon,Killebrew,Payette,1,0
fostege01,George,Foster,Tuscaloosa,1,0
howarry01,Ryan,Howard,"St. Louis",1,0
vaughmo01,Mo,Vaughn,Norwalk,1,0
hernawi01,Willie,Hernandez,Aguada,1,0
schulfr01,Frank,Schulte,Cohocton,1,0
ruthba01,Babe,Ruth,Baltimore,1,0
medwijo01,Joe,Medwick,Carteret,1,0
jonesch06,Chipper,Jones,DeLand,1,0
robinja02,Jackie,Robinson,Cairo,1,0
giambja01,Jason,Giambi,"West Covina",1,0
