name,WS,DW,LC
"New York Yankees",27,16,40
"St. Louis Cardinals",10,10,17
"New York Giants",7,0,17
"Boston Red Sox",6,6,10
"Los Angeles Dodgers",5,11,9
"Cincinnati Reds",5,8,9
"Philadelphia Athletics",5,0,11
"Pittsburgh Pirates",5,9,9
"Oakland Athletics",4,14,6
"Detroit Tigers",4,3,10
"Chicago White Sox",3,5,6
"Baltimore Orioles",3,8,9
"Philadelphia Phillies",2,10,7
"Cleveland Indians",2,7,5
"Minnesota Twins",2,9,3
"Florida Marlins",2,0,2
"Toronto Blue Jays",2,5,2
"New York Mets",2,5,4
"Chicago Cubs",2,5,10
"Detroit Wolverines",1,0,1
"Washington Senators",1,0,3
"Milwaukee Braves",1,0,2
"Arizona Diamondbacks",1,4,1
"St. Louis Browns",1,0,5
"Kansas City Royals",1,7,2
"Boston Braves",1,0,2
"Anaheim Angels",1,1,1
"Boston Americans",1,0,2
"Atlanta Braves",1,16,5
"Providence Grays",1,0,2
"Brooklyn Dodgers",1,0,7
"Boston Red Stockings",0,0,4
"Syracuse Stars",0,0,0
"Columbus Solons",0,0,0
"Texas Rangers",0,3,0
"Fort Wayne Kekiongas",0,0,0
"Rochester Broncos",0,0,0
"Buffalo Buffeds",0,0,0
"Colorado Rockies",0,0,1
"Rockford Forest Citys",0,0,0
"Louisville Eclipse",0,0,0
"Pittsburgh Rebels",0,0,0
"Tampa Bay Devil Rays",0,0,0
"Baltimore Canaries",0,0,0
"New York Metropolitans",0,0,1
"Cleveland Infants",0,0,0
"Tampa Bay Rays",0,1,1
"Middletown Mansfields",0,0,0
"New York Gothams",0,0,0
"Washington Statesmen",0,0,0
"Newark Pepper",0,0,0
"Elizabeth Resolutes",0,0,0
"Richmond Virginians",0,0,0
"Hartford Dark Blues",0,0,0
"Baltimore Monumentals",0,0,0
"St. Louis Perfectos",0,0,0
"Philadelphia Centennials",0,0,0
"Cincinnati Outlaw Reds",0,0,0
"Boston Red Caps",0,0,2
"Philadelphia Keystones",0,0,0
"Cleveland Naps",0,0,0
"California Angels",0,3,0
"Indianapolis Blues",0,0,0
"Wilmington Quicksteps",0,0,0
"Boston Doves",0,0,0
"Buffalo Bisons",0,0,0
"Boston Rustlers",0,0,0
"Montreal Expos",0,1,0
"Chicago White Stockings",0,0,6
"Troy Trojans",0,0,0
"Cleveland Spiders",0,0,0
"Baltimore Terrapins",0,0,0
"Seattle Mariners",0,3,0
"New York Mutuals",0,0,0
"Toledo Maumees",0,0,0
"Chicago Chi-Feds",0,0,0
"Troy Haymakers",0,0,0
"Pittsburg Alleghenys",0,0,0
"Brooklyn Ward's Wonders",0,0,0
"St. Louis Terriers",0,0,0
"Brooklyn Eckfords",0,0,0
"Pittsburgh Burghers",0,0,0
"Buffalo Blues",0,0,0
"Washington Nationals",0,0,0
"Philadelphia Quakers",0,0,0
"Brooklyn Grooms",0,0,0
"Boston Bees",0,0,0
"Philadelphia Whites",0,0,0
"Toledo Blue Stockings",0,0,0
"Chicago Orphans",0,0,0
"Cincinnati Redlegs",0,0,0
"Keokuk Westerns",0,0,0
"Boston Reds",0,0,2
"San Francisco Giants",0,6,3
"St. Louis Red Stockings",0,0,0
"Kansas City Cowboys",0,0,0
"Houston Colt .45's",0,0,0
"St. Louis Maroons",0,0,1
"New York Highlanders",0,0,0
"Houston Astros",0,7,1
"Milwaukee Grays",0,0,0
"Brooklyn Grays",0,0,0
"Cleveland Blues",0,0,0
"Brooklyn Bridegrooms",0,0,2
"San Diego Padres",0,5,2
"Cleveland Forest Citys",0,0,0
"Worcester Ruby Legs",0,0,0
"Brooklyn Gladiators",0,0,0
"Brooklyn Tip-Tops",0,0,0
"Cincinnati Red Stockings",0,0,1
"Chicago Colts",0,0,0
"Kansas City Packers",0,0,0
"Washington Olympics",0,0,0
"Columbus Buckeyes",0,0,0
"Chicago Pirates",0,0,0
"Brooklyn Robins",0,0,2
"Los Angeles Angels of Anaheim",0,4,0
"Brooklyn Atlantics",0,0,0
"Boston Beaneaters",0,0,6
"Cincinnati Kelly's Killers",0,0,0
"Chicago Whales",0,0,1
"Baltimore Marylands",0,0,0
"Indianapolis Hoosiers",0,0,1
"Philadelphia Blue Jays",0,0,0
"Washington Blue Legs",0,0,0
"Altoona Mountain City",0,0,0
"Brooklyn Superbas",0,0,2
"Kansas City Athletics",0,0,0
"New Haven Elm Citys",0,0,0
"Chicago/Pittsburgh (Union League)",0,0,0
"Los Angeles Angels",0,0,0
"St. Louis Brown Stockings",0,0,0
"Milwaukee Brewers",0,2,1
"Cleveland Bronchos",0,0,0
"Louisville Grays",0,0,0
"St. Paul White Caps",0,0,0
"Louisville Colonels",0,0,1
"Seattle Pilots",0,0,0
