playerID,AVG(S.Salary),(AVG(S.salary)/5831211.94)
rodrial01,14463515.750000,2.4803618697
suzukic01,10347942.555556,1.7745783659
guerrvl01,8648461.538462,1.4831327737
giambja01,8603933.066667,1.4754965443
bondsba01,8556605.545455,1.4673803034
bagweje01,8542267.933333,1.4649215328
pujolal01,8326232.000000,1.4278733282
jonesch06,7503066.647059,1.2867079304
walkela01,7357562.066667,1.2617552136
vaughmo01,7171785.785714,1.2298962650
griffke02,7112080.095238,1.2196572802
sosasa01,6892666.666667,1.1820298658
howarry01,6563750.000000,1.1256236384
rodriiv01,6476329.555556,1.1106318244
tejadmi01,6374050.615385,1.0930919131
thomafr04,5813000.000000,0.9968768173
gonzaju03,5802500.000000,0.9950761625
clemero02,5761952.380952,0.9881226133
kentje01,5073565.705882,0.8700705373
morneju01,5046000.000000,0.8653432686
larkiba01,4129868.421053,0.7082350056
ripkeca01,4108823.588235,0.7046260075
rolliji01,4086666.666667,0.7008262963
mauerjo01,3587500.000000,0.6152237368
cansejo01,3005333.333333,0.5153874296
mattido01,2709545.454545,0.4646624891
caminke01,2682607.142857,0.4600428128
henderi01,2310833.333333,0.3962869738
sandbry01,2265454.545455,0.3885049229
brettge01,2227381.000000,0.3819756550
schmimi01,2161074.750000,0.3706047340
dawsoan01,2146277.750000,0.3680671826
yountro01,1966666.666667,0.3372655096
bellge02,1942777.777778,0.3331687817
riceji01,1888652.600000,0.3238868042
murphda05,1841666.666667,0.3158291425
eckerde01,1810185.266667,0.3104303677
hernake01,1700000.000000,0.2915345931
mitchke01,1664625.000000,0.2854681012
fostege01,1600952.333333,0.2745488159
mcgeewi01,1562666.666667,0.2679831710
gibsoki01,1388181.818182,0.2380606009
pendlte01,1282678.571429,0.2199677502
lynnfr01,1233333.333333,0.2115054891
garvest01,1225000.000000,0.2100763979
parkeda01,1156428.571429,0.1983170194
fingero01,1065000.000000,0.1826378480
hernawi01,1040000.000000,0.1783505746
carewro01,875000.000000,0.1500545700
pedrodu01,862333.333333,0.1478823514
jacksre01,818710.000000,0.1404013451
rosepe01,679429.000000,0.1165159159
baylodo01,674204.750000,0.1156200044
bluevi01,350000.000000,0.0600218280
burroje01,350000.000000,0.0600218280
