playerID,awardID,yearID,lgID,tie,notes,lahmanID,playerID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameNote,nameGiven,nameNick,weight,height,bats,throws,debut,finalGame,college,lahman40ID,lahman45ID,retroID,holtzID,bbrefID,GoldGlove,MVP
maddugr01,"Gold Glove",1990,NL,NULL,P,8642,maddugr01,,,1966,4,14,USA,TX,"San Angelo",NULL,NULL,NULL,NULL,NULL,NULL,Greg,Maddux,NULL,"Gregory Alan","Mad Dog",170,72.0,R,R,1986-09-03,2008-09-27,,maddugr01,maddugr01,maddg002,maddugr01,maddugr01,18,0
robinbr01,"Gold Glove",1960,AL,NULL,3B,12058,robinbr01,,robinbr01h,1937,5,18,USA,AR,"Little Rock",NULL,NULL,NULL,NULL,NULL,NULL,Brooks,Robinson,NULL,"Brooks Calbert (Jr.)","Vacuum Cleaner",190,73.0,R,R,1955-09-17,1977-08-13,,robinbr01,robinbr01,robib104,robinbr01,robinbr01,16,1
kaatji01,"Gold Glove",1962,AL,NULL,P,7234,kaatji01,,kaatji01h,1938,11,7,USA,MI,Zeeland,NULL,NULL,NULL,NULL,NULL,NULL,Jim,Kaat,NULL,"James Lee",Kitty,217,76.0,L,L,1959-08-02,1983-07-01,,kaatji01,kaatji01,kaatj101,kaatji01,kaatji01,16,0
rodriiv01,"Gold Glove",1992,AL,NULL,C,12117,rodriiv01,,,1971,11,27,P.R.,NULL,Manati,NULL,NULL,NULL,NULL,NULL,NULL,Ivan,Rodriguez,NULL,"Ivan (Torres)","Pudge,I-Rod",205,69.0,R,R,1991-06-20,NULL,,rodriiv01,rodriiv01,rodri001,rodriiv01,rodriiv01,13,1
smithoz01,"Gold Glove",1980,NL,NULL,SS,13273,smithoz01,,smithoz01h,1954,12,26,USA,AL,Mobile,NULL,NULL,NULL,NULL,NULL,NULL,Ozzie,Smith,NULL,"Osborne Earl","Wizard of Oz",150,71.0,B,R,1978-04-07,1996-09-29,"Cal Poly San Luis Obispo",smithoz01,smithoz01,smito001,smithoz01,smithoz01,13,0
mayswi01,"Rookie of the Year",1951,NL,NULL,,9039,mayswi01,,mayswi01h,1931,5,6,USA,AL,Westfield,NULL,NULL,NULL,NULL,NULL,NULL,Willie,Mays,NULL,"Willie Howard (Jr.)","Say Hey",180,71.0,R,R,1951-05-25,1973-09-09,,mayswi01,mayswi01,maysw101,mayswi01,mayswi01,12,2
clemero01,"Gold Glove",1961,NL,NULL,OF,2553,clemero01,,clemero01h,1934,8,18,P.R.,,Carolina,1972,12,31,"in a plane crash at sea",,NULL,Roberto,Clemente,NULL,"Roberto (Walker)","Arriba, Bob",175,71.0,R,R,1955-04-17,1972-10-03,,clemero01,clemero01,clemr101,clemero01,clemero01,12,1
hernake01,"Gold Glove",1978,NL,NULL,1B,6207,hernake01,,hernake01h,1953,10,20,USA,CA,"San Francisco",NULL,NULL,NULL,NULL,NULL,NULL,Keith,Hernandez,NULL,Keith,Mex,195,72.0,L,L,1974-08-30,1990-07-24,"San Mateo",hernake01,hernake01,hernk001,hernake01,hernake01,11,1
vizquom01,"Gold Glove",1993,AL,NULL,SS,14646,vizquom01,,,1967,4,24,Venezuela,,Caracas,NULL,NULL,NULL,NULL,NULL,NULL,Omar,Vizquel,NULL,"Omar Enrique (Gonzalez)","Little O",165,69.0,B,R,1989-04-03,NULL,,vizquom01,vizquom01,vizqo001,vizquom01,vizquom01,11,0
schmimi01,"Gold Glove",1976,NL,NULL,3B,12634,schmimi01,,schmimi01h,1949,9,27,USA,OH,Dayton,NULL,NULL,NULL,NULL,NULL,NULL,Mike,Schmidt,NULL,"Michael Jack",NULL,203,74.0,R,R,1972-09-12,1989-05-28,Ohio,schmimi01,schmimi01,schmm001,schmimi01,schmimi01,10,3
benchjo01,"Gold Glove",1968,NL,NULL,C,912,benchjo01,,benchjo01h,1947,12,7,USA,OK,"Oklahoma City",NULL,NULL,NULL,NULL,NULL,NULL,Johnny,Bench,NULL,"Johnny Lee","Little General",208,73.0,R,R,1967-08-28,1983-09-29,,benchjo01,benchjo01,bencj101,benchjo01,benchjo01,10,2
griffke02,"Gold Glove",1990,AL,NULL,OF,5479,griffke02,,,1969,11,21,USA,PA,Donora,NULL,NULL,NULL,NULL,NULL,NULL,Ken,Griffey,NULL,"George Kenneth (Jr.)","Junior,Kid",205,75.0,L,L,1989-04-03,NULL,,griffke02,griffke02,grifk002,griffke02,griffke02,10,1
kalinal01,"Gold Glove",1957,ML,NULL,RF,7253,kalinal01,,kalinal01h,1934,12,19,USA,MD,Baltimore,NULL,NULL,NULL,NULL,NULL,NULL,Al,Kaline,NULL,"Albert William",NULL,180,74.0,R,R,1953-06-25,1974-10-02,,kalinal01,kalinal01,kalia101,kalinal01,kalinal01,10,0
alomaro01,"Gold Glove",1991,AL,NULL,2B,196,alomaro01,,,1968,2,5,P.R.,NULL,Ponce,NULL,NULL,NULL,NULL,NULL,NULL,Roberto,Alomar,NULL,"Roberto (Velazquez)",NULL,185,72.0,B,R,1988-04-22,2004-09-05,,alomaro01,alomaro01,alomr001,alomaro01,alomaro01,10,0
jonesan01,"Gold Glove",1998,NL,NULL,OF,7089,jonesan01,,,1977,4,23,Curacao,NULL,Willemstad,NULL,NULL,NULL,NULL,NULL,NULL,Andruw,Jones,NULL,"Andruw Rudolf",NULL,170,73.0,R,R,1996-08-15,NULL,,jonesan01,jonesan01,jonea002,jonesan01,jonesan01,10,0
suzukic01,"Gold Glove",2001,AL,NULL,OF,13875,suzukic01,,,1973,10,22,Japan,,Kasugai,NULL,NULL,NULL,NULL,NULL,NULL,Ichiro,Suzuki,NULL,NULL,NULL,160,69.0,L,R,2001-04-02,NULL,,suzukic01,suzukic01,suzui001,suzukic01,suzukic01,9,1
gibsobo01,"WS MVP",1964,ML,NULL,,5066,gibsobo01,,gibsobo01h,1935,11,9,USA,NE,Omaha,NULL,NULL,NULL,NULL,NULL,NULL,Bob,Gibson,"born Pack Robert Gibson",Robert,"Hoot,Gibby",195,73.0,R,R,1959-04-15,1975-09-03,,gibsobo01,gibsobo01,gibsb101,gibsobo01,gibsobo01,9,1
sandbry01,"Gold Glove",1983,NL,NULL,2B,12447,sandbry01,,sandbry01h,1959,9,18,USA,WA,Spokane,NULL,NULL,NULL,NULL,NULL,NULL,Ryne,Sandberg,NULL,"Ryne Dee",Ryno,180,74.0,R,R,1981-09-02,1997-09-28,,sandbry01,sandbry01,sandr001,sandbry01,sandbry01,9,1
mattido01,"Gold Glove",1985,AL,NULL,1B,8984,mattido01,,mattido01h,1961,4,20,USA,IN,Evansville,NULL,NULL,NULL,NULL,NULL,NULL,Don,Mattingly,NULL,"Donald Arthur","Donnie Baseball",175,72.0,L,L,1982-09-08,1995-10-01,,mattido01,mattido01,mattd001,mattido01,mattido01,9,1
hunteto01,"Gold Glove",2001,AL,NULL,OF,6745,hunteto01,,,1975,7,18,USA,AR,"Pine Bluff",NULL,NULL,NULL,NULL,NULL,NULL,Torii,Hunter,NULL,"Torii Kedar",NULL,205,74.0,R,R,1997-08-22,NULL,,hunteto01,hunteto01,huntt001,hunteto01,hunteto01,9,0
aparilu01,"Rookie of the Year",1956,AL,NULL,,311,aparilu01,,aparilu01h,1934,4,29,Venezuela,NULL,Maracaibo,NULL,NULL,NULL,NULL,NULL,NULL,Luis,Aparicio,NULL,"Luis Ernesto (Montiel)","Little Louie",160,69.0,R,R,1956-04-17,1973-09-28,,aparilu01,aparilu01,aparl101,aparilu01,aparilu01,9,0
bondsba01,"Gold Glove",1990,NL,NULL,OF,1274,bondsba01,,,1964,7,24,USA,CA,Riverside,NULL,NULL,NULL,NULL,NULL,NULL,Barry,Bonds,NULL,"Barry Lamar",NULL,228,73.0,L,L,1986-05-30,2007-09-26,"Arizona State",bondsba01,bondsba01,bondb001,bondsba01,bondsba01,8,7
shantbo01,MVP,1952,AL,NULL,,12868,shantbo01,,shantbo01h,1925,9,26,USA,PA,Pottstown,NULL,NULL,NULL,NULL,NULL,NULL,Bobby,Shantz,NULL,"Robert Clayton",NULL,142,66.0,R,L,1949-05-01,1964-09-29,,shantbo01,shantbo01,shanb102,shantbo01,shantbo01,8,1
dawsoan01,"Rookie of the Year",1977,NL,NULL,,3367,dawsoan01,,dawsoan01h,1954,7,10,USA,FL,Miami,NULL,NULL,NULL,NULL,NULL,NULL,Andre,Dawson,NULL,"Andre Nolan",Hawk,195,75.0,R,R,1976-09-11,1996-09-29,"Florida A&M",dawsoan01,dawsoan01,dawsa001,dawsoan01,dawsoan01,8,1
edmonji01,"Gold Glove",1997,AL,NULL,OF,3998,edmonji01,,,1970,6,27,USA,CA,Fullerton,NULL,NULL,NULL,NULL,NULL,NULL,Jim,Edmonds,NULL,"James Patrick",NULL,190,73.0,L,L,1993-09-09,2008-09-26,,edmonji01,edmonji01,edmoj001,edmonji01,edmonji01,8,0
mazerbi01,"Gold Glove",1958,NL,NULL,2B,9041,mazerbi01,,mazerbi01h,1936,9,5,USA,WV,Wheeling,NULL,NULL,NULL,NULL,NULL,NULL,Bill,Mazeroski,NULL,"William Stanley",Maz,183,71.0,R,R,1956-07-07,1972-10-04,,mazerbi01,mazerbi01,mazeb101,mazerbi01,mazerbi01,8,0
evansdw01,"Gold Glove",1976,AL,NULL,OF,4206,evansdw01,,evansdw01h,1951,11,3,USA,CA,"Santa Monica",NULL,NULL,NULL,NULL,NULL,NULL,Dwight,Evans,NULL,"Dwight Michael",Dewey,205,74.0,R,R,1972-09-16,1991-10-06,,evansdw01,evansdw01,evand002,evansdw01,evansdw01,8,0
whitefr01,"Gold Glove",1977,AL,NULL,2B,15103,whitefr01,,whitefr01h,1950,9,4,USA,MS,Greenville,NULL,NULL,NULL,NULL,NULL,NULL,Frank,White,NULL,"Frank (Jr.)",NULL,170,71.0,R,R,1973-06-12,1990-09-30,"Longview CC",whitefr01,whitefr01,whitf001,whitefr01,whitefr01,8,0
belanma01,"Gold Glove",1969,AL,NULL,SS,861,belanma01,,belanma01h,1944,6,8,USA,MA,Pittsfield,1998,10,6,USA,NY,"New York",Mark,Belanger,NULL,"Mark Henry",NULL,170,73.0,R,R,1965-08-07,1982-10-02,,belanma01,belanma01,belam101,belanma01,belanma01,8,0
blairpa01,"Gold Glove",1967,AL,NULL,OF,1140,blairpa01,,blairpa01h,1944,2,1,USA,OK,Cushing,NULL,NULL,NULL,NULL,NULL,NULL,Paul,Blair,NULL,"Paul L D",Motormouth,171,72.0,R,R,1964-09-09,1980-06-20,,blairpa01,blairpa01,blaip101,blairpa01,blairpa01,8,0
scottge02,"Gold Glove",1967,AL,NULL,1B,12734,scottge02,,scottge02h,1944,3,23,USA,MS,Greenville,NULL,NULL,NULL,NULL,NULL,NULL,George,Scott,NULL,"George Charles (Jr.)",Boomer,215,74.0,R,R,1966-04-12,1979-09-27,,scottge02,scottge02,scotg102,scottge02,scottge02,8,0
maddoga01,"Gold Glove",1975,NL,NULL,OF,8639,maddoga01,,,1949,9,1,USA,OH,Cincinnati,NULL,NULL,NULL,NULL,NULL,NULL,Garry,Maddox,NULL,"Garry Lee","Secretary of Defense",184,75.0,R,R,1972-04-25,1986-04-20,"Harbor JC",maddoga01,maddoga01,maddg001,maddoga01,maddoga01,8,0
yastrca01,"Gold Glove",1963,AL,NULL,OF,15607,yastrca01,,yastrca01h,1939,8,22,USA,NY,Southampton,NULL,NULL,NULL,NULL,NULL,NULL,Carl,Yastrzemski,NULL,"Carl Michael",Yaz,182,71.0,L,R,1961-04-11,1983-10-02,,yastrca01,yastrca01,yastc101,yastrca01,yastrca01,7,1
